host_id,hostname,dist_pc,st_teff_k,st_rad_rsun,st_mass_msun,st_lum_log,st_logg,st_met_dex,st_spectype,spectral_class,hr_region,n_stars,n_planets
3515,Kepler-988,304.889,4005.0,0.53,0.55,-1.04739,4.73,-0.32,Unknown,Unknown,Main_Sequence_Cool,1,1
3516,Kepler-989,491.978,5074.0,0.78,0.82,-0.42689,4.58,0.01,Unknown,Unknown,Main_Sequence_Cool,1,1
3517,Kepler-99,208.369,4782.0,0.73,0.79,-0.58545,4.605,0.18,Unknown,Unknown,Main_Sequence_Cool,2,1
3518,Kepler-990,802.163,5948.0,1.08,1.05,-0.05003,4.39,0.01,Unknown,Unknown,Main_Sequence_Cool,1,2
3519,Kepler-991,389.561,4392.0,0.61,0.64,-0.83074,4.67,-0.25,Unknown,Unknown,Main_Sequence_Cool,1,1
3520,Kepler-992,259.639,4944.0,0.74,0.8,-0.56959,4.6,-0.04,Unknown,Unknown,Main_Sequence_Cool,1,1
3521,Kepler-993,324.423,3843.0,0.54,0.57,-1.22868,4.72,0.03,Unknown,Unknown,Main_Sequence_Cool,1,1
3522,Kepler-994,188.158,3934.0,0.54,0.56,-1.13919,4.72,-0.13,Unknown,Unknown,Main_Sequence_Cool,1,1
3523,Kepler-995,609.638,5206.0,0.8,0.83,-0.41918,4.57,-0.07,Unknown,Unknown,Main_Sequence_Cool,1,1
3524,Kepler-996,1216.58,6014.0,1.14,1.09,0.24247,4.36,0.03,Unknown,Unknown,Main_Sequence_Hot,1,1
3525,Kepler-997,467.568,6150.0,1.56,1.22,0.49569,4.14,0.05,Unknown,Unknown,Main_Sequence_Hot,1,1
3526,Kepler-998,986.364,6058.0,1.18,1.12,0.1929,4.34,0.07,Unknown,Unknown,Main_Sequence_Hot,1,1
3527,Kepler-999,545.063,6237.0,1.65,1.29,0.5381,4.11,0.05,Unknown,Unknown,Main_Sequence_Hot,1,1
3528,L 168-9,25.1496,3842.0,0.604,0.614,-1.14086,4.84,-0.03,M0.5 V,M,Main_Sequence_Cool,1,1
3529,L 363-38,10.2295,3129.0,0.274,0.21,-1.88606,4.97,,Unknown,Unknown,Main_Sequence_Cool,1,1
3530,L 98-59,10.6194,3415.0,0.3155,0.2923,-1.91364,4.91,-0.46,M3 V,M,Main_Sequence_Cool,1,5
3531,LHS 1140,14.9861,3096.0,0.2159,0.1844,-2.42022,5.041,-0.15,M4.5 V,M,Main_Sequence_Cool,1,2
3532,LHS 1478,18.2276,3381.0,0.246,0.236,-2.14569,4.87,-0.13,m3 V,Unknown,Main_Sequence_Cool,1,1
3533,LHS 1678,19.8782,3490.0,0.329,0.345,-1.83863,4.89044,,M2.0 V,M,Main_Sequence_Cool,2,3
3534,LHS 1815,29.8424,3643.0,0.501,0.502,-1.38722,4.77,-0.12,M1,M,Main_Sequence_Cool,1,1
3535,LHS 1903,35.6917,3664.0,0.539,0.538,-1.32451,4.75,-0.11,M,M,Main_Sequence_Cool,1,4
3536,LHS 3154,15.7606,2861.0,0.1405,0.1118,-2.72125,5.20031,,M6.5,M,Main_Sequence_Cool,1,1
3537,LHS 3844,14.8846,3036.0,0.189,0.151,-2.56543,5.06,,M5,M,Main_Sequence_Cool,1,1
3538,LHS 475,12.4814,3300.0,0.2789,0.262,-2.06449,5.0,,M3.5 V,M,Main_Sequence_Cool,1,1
3539,LP 261-75 A,33.928,3138.0,0.308,0.22,-2.08618,4.91873,,M4.5 V,M,Main_Sequence_Cool,1,1
3540,LP 714-47,52.616,3950.0,0.584,0.59,-1.12494,4.64,0.41,M0.0 V,M,Main_Sequence_Cool,1,1
3541,LP 791-18,26.4927,2960.0,0.182,0.139,-2.63827,5.115,-0.09,M(6.1 +/- 0.7) V,M,Main_Sequence_Cool,1,3
3542,LP 890-9,32.4298,2850.0,0.1556,0.118,-2.84134,5.126,-0.028,M6 V,M,Main_Sequence_Cool,1,2
3543,LSPM J2116+0234,17.6297,3475.0,0.431,0.43,-1.69897,4.95,-0.05,M3.0 V,M,Main_Sequence_Cool,1,1
3544,LTT 1445 A,6.86929,3451.0,0.268,0.257,-2.04591,4.97389,-0.34,M3.0,M,Main_Sequence_Cool,3,2
3545,LTT 3780,21.9814,3358.0,0.38,0.381,-1.78252,4.85,0.06,M3.5 V,M,Main_Sequence_Cool,2,2
3546,LTT 9779,80.4373,5443.0,0.949,1.02,-0.16749,4.35,0.27,G7 V,G,Main_Sequence_Cool,1,1
3547,LkCa 15,158.152,4194.0,1.60711,1.0,-0.19164,3.65,0.26,Unknown,Unknown,Subgiant,1,2
3548,Lupus-TR-3,773.409,5000.0,0.82,0.87,-1.46393,4.5,,Unknown,Unknown,Main_Sequence_Cool,1,1
3549,M62H,,,,1.4,,,,Unknown,Unknown,Unknown,1,1
3550,MASCARA-1,182.273,7490.0,2.082,1.9,1.08279,4.105,0.15,A8,A,Main_Sequence_Hot,1,1
3551,MASCARA-4,170.696,7800.0,1.79,1.75,1.08743,4.1,0.0,A7 V,A,Main_Sequence_Hot,2,1
3552,MOA-2007-BLG-192L,1000.0,5502.5,1.42487,0.06,0.31745,,,Unknown,Unknown,Unknown,1,1
3553,MOA-2007-BLG-400L,6890.0,5502.5,1.42487,0.69,0.31745,,,Unknown,Unknown,Unknown,1,1
3554,MOA-2008-BLG-310L,7700.0,5502.5,1.42487,0.21,0.31745,,,Unknown,Unknown,Unknown,1,1
3555,MOA-2008-BLG-379L,3300.0,5502.5,1.42487,0.56,0.31745,,,K,K,Unknown,1,1
3556,MOA-2009-BLG-266L,3040.0,5502.5,1.42487,0.56,0.31745,,,Unknown,Unknown,Unknown,1,1
